=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 16:51:19 =~=~=~=~=~=~=~=~=~=~=~=
7       Thursday) 4:50:48          74.64                 6.94               6               0.45
2021/3/11 (Thursday) 4:50:49          
Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 4:50:53          74.64                 6.97               10               0.48
2021/3/11 (Thursday) 4:50:55          74.75                 6.92               6               0.55
2021/3/11 (Thursday) 4:50:56          74.75                 6.96               10               0.49
2021/3/11 (Thursday) 4:50:57          74.64                 6.96               6               0.57
2021/3/11 (Thursday) 4:50:58          74.75                 6.92               12               0.49
2021/3/11 (Thursday) 4:50:59          74.64                 6.96               6               0.57
2021/3/11 (Thursday) 4:51:0          74.75                 6.92               10               0.57
2021/3/11 (Thursday) 4:51:1          74.75                 6.96               6               0.48
2021/3/11 (Thursday) 4:51:2          74.75                 6.92               6               0.56
2021/3/11 (Thursday) 4:51:3          74.75                 6.96               12               0.48
2021/3/11 (Thursday) 4:51:4          74.64                 6.92               4               0.57
2021/3/11 (Thursday) 4:51:5          74.75                 6.92               10               0.49
2021/3/11 (Thursday) 4:51:6          74.64                 6.96               6               0.57
2021/3/11 (Thursday) 4:51:7          74.75                 6.92               10               0.51
2021/3/11 (Thursday) 4:51:8          74.64                 6.96               6               0.51
2021/3/11 (Thursday) 4:51:9          74.75                 6.92               10               0.59
2021/3/11 (Thursday) 4:51:10          74.75                 6.94               10               0.53
2021/3/11 (Thursday) 4:51:11          74.75                 6.92               6               0.60
2021/3/11 (Thursday) 4:51:12          74.64                 6.90               10               0.53
2021/3/11 (Thursday) 4:51:13          74.75                 6.97               6               0.59
2021/3/11 (Thursday) 4:51:14          74.64                 6.94               10               0.52
2021/3/11 (Thursday) 4:51:15          74.75                 6.94               6               0.51
2021/3/11 (Thursday) 4:51:16          74.75                 6.94               10               0.59
2021/3/11 (Thursday) 4:51:17          74.64                 6.94               6               0.52
2021/3/11 (Thursday) 4:51:18          74.75                 6.92               6               0.60
2021/3/11 (Thursday) 4:51:19          74.64                 6.94               10               0.54
2021/3/11 (Thursday) 4:51:20          74.75                 6.96               4               0.61
2021/3/11 (Thursday) 4:51:21          74.75                 6.94               10               0.55
2021/3/11 (Thursday) 4:51:22          74.64                 6.96               6               0.63
2021/3/11 (Thursday) 4:51:23          74.75                 6.94               10               0.63
2021/3/11 (Thursday) 4:51:24          74.75                 6.94               6               0.55
2021/3/11 (Thursday) 4:51:25          74.75                 6.94               6               0.63
2021/3/11 (Thursday) 4:51:26          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:51:27          74.75                 6.90               6               0.61
2021/3/11 (Thursday) 4:51:28          74.64                 6.92               10               0.53
