=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 21:04:26 =~=~=~=~=~=~=~=~=~=~=~=

Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)

67.10                            7.67           127                 2050.14
67.21                            7.49           129                 2070.71
67.21                            7.69           132                 2050.14
67.21                            7.47           131                 2029.36
67.10                            7.67           129                 2029.36
67.21                            7.45           127                 2070.71
67.21                            7.67           131                 2070.71
67.21                            7.69           132                 2050.14
67.21                            7.49           129                 2029.36
67.21                            7.64           127                 2050.14
67.10                            7.71           129                 2070.71
67.21                            7.50           131                 2050.14
67.21                            7.49           129                 2029.36
67.10                            7.52           127                 2029.36
67.10                            7.49           127                 2050.14
67.21                            7.69           132                 2050.14
67.21                            7.69           131                 2050.14
67.21                            7.49           132                 2029.36
67.10                            7.49           127                 2029.36
67.10                            7.52           129                 2050.14
67.21                            7.66           131                 2050.14
67.21                            7.55           132                 2029.36
67.21                            7.66           129                 2029.36
67.21                            7.50           127                 2050.14
67.21                            7.67           132                 2050.14
67.21                            7.69           131                 2050.14
67.21                            7.50           131                 2029.36
67.10                            7.66           129                 1965.66
67.10                            7.52           129                 1987.11
67.21                            7.47           132                 1965.66
67.21                            7.64           132                 1943.97
67.10                            7.69           129                 1899.94
67.10                            7.54           129                 1922.07
67.21                            7.47           127                 1922.07
67.10                            7.49           131                 1922.07
67.21                            7.45           129                 1899.94
67.10                            7.45           127                 1899.94
67.10                            7.47           127                 1922.07
67.10                            7.66           129                 1922.07
67.21                            7.66           129                 1899.94
67.21                            7.67           129                 1899.94
67.21                            7.69           127                 1899.94
67.21                            7.67           129                 1922.07
67.21                            7.71           132                 1922.07
67.21                            7.67           129                 1899.94
67.21                            7.62           127                 1899.94
67.21                            7.62           129                 1922.07
67.32                            7.45           131                 1922.07
67.21                            7.45           132                 1922.07
67.32                            7.49           129                 1899.94
67.10                            7.47           129                 1877.58
67.21                            7.47           127                 1899.94
67.32                            7.62           132                 1899.94
67.32                            7.67           129                 1877.58
67.21                            7.67           129                 1877.58
67.21                            7.71           127                 1832.20
67.21                            7.64           138                 1832.20
67.32                            7.49           134                 1809.17
67.21                            7.45           132                 1809.17
67.21                            7.69           129                 1785.92
67.32                            7.71           129                 1809.17
67.32                            7.71           134                 1809.17
67.32                            7.50           134                 1785.92
67.21                            7.67           129                 1785.92
67.21                            7.47           131                 1785.92
67.21                            7.50           134                 1785.92
67.21                            7.71           134                 1785.92
67.21                            7.50           131                 1762.45
67.21                            7.49           129                 1762.45
67.21                            7.49           129                 1785.92
67.32                            7.35           134                 1762.45
67.21                            7.52           132                 1738.75
67.21                            7.69           131                 1738.75
67.21                            7.55           132                 1762.45
67.32                            7.69           129                 1762.45
67.32                            7.52           134                 1762.45
67.32                            7.72           132                 1738.75
67.21                            7.64           129                 1714.83
67.32                            7.49           129                 1738.75
67.32                            7.52           132                 1738.75
67.32                            7.55           132                 1738.75
67.32                            7.49           132                 1714.83
67.21                            7.69           129                 1714.83
67.21                            7.67           131                 1738.75
67.32                            7.47           131                 1738.75
67.21                            7.57           134                 1714.83
67.21                            7.55           131                 1714.83
67.21                            7.67           132                 1714.83
67.32                            7.66           132                 1714.83
67.32                            7.67           132                 1714.83
67.32                            7.52           134                 1690.68
67.21                            7.47           132                 1690.68
67.21                            7.67           131                 1714.83
67.32                            7.52           134                 1714.83
67.21                            7.49           132                 1666.31
67.10                            7.60           131                 1666.31
67.21                            7.64           131                 1690.68
67.21                            7.69           136                 1690.68
67.32                            7.59           134                 1690.68
67.21                            7.47           132                 1666.31
67.21                            7.45           131                 1666.31
67.21                            7.50           131                 1690.68
67.32                            7.47           131                 1690.68
67.32                            7.47           134                 1666.31
67.32                            7.45           131                 1641.71
67.32                            7.59           129                 1666.31
67.21                            7.54           132                 1666.31
67.32                            7.52           131                 1666.31
67.21                            7.54           134                 1641.71
67.21                            7.71           129                 1641.71
67.32                            7.67           129                 1666.31
67.32                            7.72           134                 1666.31
67.32                            7.69           132                 1641.71
67.21                            7.69           132                 1616.89
67.21                            7.72           129                 1641.71
67.21                            7.72           129                 1641.71
67.32                            7.66           134                 1641.71
67.32                            7.67           132                 1616.89
67.32                            7.47           127                 1616.89
67.21                            7.47           131                 1641.71
67.32                            7.49           131                 1641.71
67.32                            7.49           132                 1641.71
67.32                            7.71           134                 1616.89
67.32                            7.67           129                 1616.89
67.32                            7.49           132                 1641.71
67.32                            7.49           132                 1641.71
67.32                            7.59           134                 1616.89
67.32                            7.69           132                 1616.89
67.32                            7.49           131                 1616.89
67.32                            7.50           131                 1616.89
67.32                            7.71           134                 1616.89
67.32                            7.52           132                 1591.85
67.21                            7.47           132                 1616.89
67.32                            7.47           132                 1616.89
67.32                            7.49           132                 1616.89
67.32                            7.69           134                 1591.85
67.32                            7.66           131                 1591.85
67.32                            7.64           132                 1616.89
67.32                            7.67           132                 1616.89
67.32                            7.49           132                 1616.89
67.32                            7.47           132                 1591.85
67.32                            7.69           129                 1591.85
67.32                            7.69           129                 1616.89
67.44                            7.69           132                 1616.89
67.32                            7.47           132                 1591.85
67.32                            7.67           132                 1591.85
67.32                            7.67           131                 1591.85
67.32                            7.64           132                 1591.85
67.32                            7.50           134                 1591.85
67.32                            7.71           134                 1566.58
67.32                            7.66           129                 1566.58
67.32                            7.45           132                 1591.85
67.32                            7.47           132                 1591.85
67.32                            7.66           134                 1566.58
67.32                            7.66           129                 1566.58
67.21                            7.64           129                 1566.58
67.32                            7.54           132                 1591.85
67.32                            7.54           132                 1591.85
67.32                            7.49           131                 1566.58
67.21                            7.45           129                 1566.58
67.32                            7.45           131                 1591.85
67.32                            7.45           134                 1591.85
67.32                            7.66           132                 1566.58
67.21                            7.67           132                 1566.58
67.32                            7.49           129                 1566.58
67.32                            7.47           129                 1566.58
67.32                            7.54           132                 1566.58
67.32                            7.67           132                 1541.09
67.32                            7.66           131                 1541.09
67.32                            7.45           132                 1566.58
67.32                            7.47           134                 1566.58
67.44                            7.67           132                 1566.58
67.32                            7.64           132                 1541.09
67.32                            7.45           132                 1566.58
67.32                            7.47           131                 1566.58
67.32                            7.49           132                 1566.58
67.44                            7.50           132                 1541.09
67.32                            7.66           131                 1541.09
67.32                            7.55           131                 1566.58
67.32                            7.47           132                 1566.58
67.32                            7.49           136                 1566.58
67.44                            7.66           134                 1541.09
67.32                            7.64           129                 1541.09
67.32                            7.49           131                 1566.58
