=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:17:59 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:17:35          74.64                 6.96               4               0.70
2021/3/11 (Thursday) 5:17:37          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:17:38          74.52                 6.97               6               0.71
2021/3/11 (Thursday) 5:17:39          74.52                 6.97               10               0.72
2021/3/11 (Thursday) 5:17:40          74.52                 6.96               4               0.66
2021/3/11 (Thursday) 5:17:41          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:17:42          74.52                 6.96               10               0.68
2021/3/11 (Thursday) 5:17:43          74.52                 6.99               6               0.71
2021/3/11 (Thursday) 5:17:44          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:17:45          74.52                 6.97               4               0.71
2021/3/11 (Thursday) 5:17:46          74.52                 6.99               10               0.66
2021/3/11 (Thursday) 5:17:47          74.52                 6.97               4               0.66
2021/3/11 (Thursday) 5:17:48          74.52                 6.97               8               0.70
2021/3/11 (Thursday) 5:17:49          74.52                 6.97               8               0.66
2021/3/11 (Thursday) 5:17:50          74.52                 6.97               4               0.71
2021/3/11 (Thursday) 5:17:51          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:17:52          74.52                 6.97               4               0.72
2021/3/11 (Thursday) 5:17:53          74.64                 6.99               10               0.67
2021/3/11 (Thursday) 5:17:54          74.64                 6.99               4               0.71
2021/3/11 (Thursday) 5:17:55          74.64                 6.97               10               0.70
2021/3/11 (Thursday) 5:17:56          74.52                 6.97               6               0.66
2021/3/11 (Thursday) 5:17:57          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:17:58          74.64                 6.96               10               0.65
2021/3/11 (Thursday) 5:17:59          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:18:0          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:18:1          74.64                 6.96               4               0.70
2021/3/11 (Thursday) 5:18:2          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:18:3          74.64                 6.97               6               0.68
2021/3/11 (Thursday) 5:18:4          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:18:5          74.64                 6.97               8               0.68
2021/3/11 (Thursday) 5:18:6          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:18:7          74.64                 6.99               8               0.68
2021/3/11 (Thursday) 5:18:8          74.64                 6.99               6               0.70
2021/3/11 (Thursday) 5:18:9          74.64                 6.99               8               0.65
2021/3/11 (Thursday) 5:18:10          74.64                 6.99               6               0.66
2021/3/11 (Thursday) 5:18:11          74.52                 6.99               10               0.71
2021/3/11 (Thursday) 5:18:12          74.64                 6.99               6               0.66
2021/3/11 (Thursday) 5:18:13          74.64                 6.97               6               0.72
2021/3/11 (Thursday) 5:18:14          74.64                 6.96               10               0.67
2021/3/11 (Thursday) 5:18:15          74.52                 6.97               6               0.71
2021/3/11 (Thursday) 5:18:16          74.64                 7.01               10               0.67
2021/3/11 (Thursday) 5:18:17          74.52                 6.97               4               0.73
2021/3/11 (Thursday) 5:18:18          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:18:19          74.52                 6.97               4               0.67
2021/3/11 (Thursday) 5:18:20          74.75                 6.97               6               0.70
