=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 23:42:18 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)

69.01                            7.14           136                 3001.06
69.12                            7.14           136                 3001.66
69.12                            7.14           136                 3001.66
69.12                            7.04           136                 3002.20
69.12                            7.14           136                 3002.20
69.01                            7.02           138                 3003.14
69.24                            7.14           138                 3003.53
69.12                            6.99           136                 3002.70
69.12                            7.11           136                 3003.14
69.12                            7.14           136                 3004.14
69.12                            7.01           138                 3004.37
69.12                            6.99           136                 3004.37
69.12                            6.99           138                 3004.37
69.01                            7.14           136                 3004.37
69.12                            7.14           136                 3004.54
69.12                            7.11           134                 3004.66
69.12                            7.01           136                 3004.66
69.01                            6.99           138                 3004.66
69.12                            6.99           134                 3004.54
69.01                            7.14           134                 3004.66
69.12                            7.14           134                 3004.74
69.12                            7.01           134                 3004.74
69.12                            6.99           136                 3004.74
69.12                            7.01           134                 3004.70
69.12                            6.99           136                 3004.70
69.12                            6.99           134                 3004.73
69.12                            7.13           136                 3004.74
69.01                            7.08           132                 3004.60
69.12                            7.01           136                 3004.74
69.12                            6.99           134                 3004.70
69.12                            7.13           132                 3004.60
69.12                            7.14           134                 3004.74
69.12                            7.02           134                 3004.60
69.12                            7.01           134                 3004.60
69.12                            7.01           136                 3004.70
69.12                            7.14           134                 3004.46
69.12                            7.14           134                 3004.00
69.01                            7.01           132                 3004.00
69.12                            7.14           134                 3004.25
69.01                            7.02           136                 3004.00
69.12                            7.01           134                 3003.69
69.01                            7.13           134                 3003.33
69.12                            7.14           132                 3003.69
69.12                            7.01           132                 3004.00
69.12                            6.99           134                 3003.33
69.12                            7.14           132                 3002.91
69.12                            6.99           134                 3003.33
69.12                            7.06           132                 3002.44
69.12                            7.16           134                 3001.92
69.24                            7.06           132                 3002.44
69.12                            7.01           136                 3002.91
69.12                            7.13           134                 3001.92
69.12                            7.02           134                 3001.34
69.24                            6.99           132                 3001.92
69.24                            7.14           132                 3002.44
69.24                            6.99           132                 3001.34
69.12                            7.06           132                 3000.71
69.12                            7.14           132                 3001.92
69.24                            7.01           134                 3001.34
69.24                            7.16           132                 3000.03
69.24                            7.14           134                 3000.03
69.24                            7.01           131                 3000.71
69.24                            7.14           131                 3000.03
69.12                            7.16           134                 2999.29
69.24                            7.14           132                 2999.29
69.12                            7.14           131                 2998.50
69.24                            7.08           131                 3000.03
69.24                            7.01           132                 3000.03
69.24                            7.01           132                 3000.71
69.24                            7.01           132                 2998.50
69.12                            7.01           131                 2997.66
69.24                            7.06           132                 2998.50
69.12                            7.14           132                 2998.50
69.24                            7.14           132                 2998.50
69.12                            7.14           132                 2999.29
69.12                            7.01           131                 2999.29
69.24                            7.04           136                 2999.29
69.24                            7.14           134                 2998.50
69.24                            7.01           132                 2998.50
69.24                            7.01           134                 2997.66
69.24                            7.16           132                 2997.66
69.24                            7.11           134                 2996.76
69.24                            7.01           132                 2995.81
69.35                            7.16           131                 2994.81
69.24                            7.14           132                 2995.81
69.24                            6.99           134                 2995.81
69.24                            7.06           134                 2996.76
69.35                            7.14           132                 2996.76
69.24                            7.01           134                 2996.76
69.24                            7.08           132                 2995.81
69.24                            7.16           134                 2995.81
69.24                            7.14           132                 2995.81
69.24                            6.99           134                 2994.81
69.35                            7.06           134                 2993.75
69.24                            7.14           134                 2992.64
69.35                            7.01           132                 2993.75
69.35                            7.14           132                 2993.75
69.24                            7.08           132                 2993.75
69.35                            7.01           132                 2993.75
