=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:55:50 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:55:26          74.97                 6.96               10               0.62
2021/3/11 (Thursday) 5:55:27          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:55:28          74.97                 6.96               10               0.68
2021/3/11 (Thursday) 5:55:29          74.97                 6.94               4               0.63
2021/3/11 (Thursday) 5:55:30          74.86                 6.97               10               0.66
2021/3/11 (Thursday) 5:55:31          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:55:32          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:55:33          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:55:34          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:55:35          74.97                 6.97               10               0.63
2021/3/11 (Thursday) 5:55:36          74.86                 6.97               6               0.63
2021/3/11 (Thursday) 5:55:37          74.86                 6.97               10               0.67
2021/3/11 (Thursday) 5:55:38          74.86                 6.97               4               0.62
2021/3/11 (Thursday) 5:55:39          74.86                 6.97               6               0.66
2021/3/11 (Thursday) 5:55:40          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:55:41          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:55:42          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:55:43          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:55:44          74.97                 6.97               10               0.67
2021/3/11 (Thursday) 5:55:45          74.86                 6.96               4               0.62
2021/3/11 (Thursday) 5:55:46          74.86                 6.96               10               0.66
2021/3/11 (Thursday) 5:55:47          74.86                 6.94               8               0.61
2021/3/11 (Thursday) 5:55:48          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:55:49          74.86                 6.92               10               0.63
2021/3/11 (Thursday) 5:55:50          74.86                 6.94               6               0.68
2021/3/11 (Thursday) 5:55:51          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:55:52          74.86                 6.96               6               0.63
2021/3/11 (Thursday) 5:55:53          74.86                 6.96               10               0.66
2021/3/11 (Thursday) 5:55:54          74.86                 6.97               10               0.61
2021/3/11 (Thursday) 5:55:55          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:55:56          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:55:57          74.86                 6.96               4               0.67
2021/3/11 (Thursday) 5:55:58          74.86                 6.97               10               0.63
2021/3/11 (Thursday) 5:55:59          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:56:0          74.97                 6.96               10               0.66
2021/3/11 (Thursday) 5:56:1          74.86                 6.94               6               0.62
2021/3/11 (Thursday) 5:56:2          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 5:56:3          74.86                 6.97               10               0.62
2021/3/11 (Thursday) 5:56:4          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 5:56:5          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:56:6          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 5:56:7          74.97                 6.96               8               0.68
2021/3/11 (Thursday) 5:56:8          74.86                 6.97               6               0.62
2021/3/11 (Thursday) 5:56:9          74.97                 6.94               10               0.66
2021/3/11 (Thursday) 5:56:10          74.97                 6.96               8               0.62
2021/3/11 (Thursday) 5:56:11          74.97                 6.97               4               0.66
2021/3/11 (Thursday) 5:56:12          74.97                 6.97               12               0.63
2021/3/11 (Thursday) 5:56:13          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:56:14          74.97                 6.97               8               0.64
2021/3/11 (Thursday) 5:56:15          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 5:56:16          74.97                 6.94               10               0.66
2021/3/11 (Thursday) 5:56:17          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 5:56:18          74.97                 6.97               6               0.66
2021/3/11 (Thursday) 5:56:19          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:56:20          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 5:56:21          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:56:22          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:56:23          74.97                 6.94               10               0.66
2021/3/11 (Thursday) 5:56:24          74.97                 6.97               4               0.62
2021/3/11 (Thursday) 5:56:25          74.97                 6.97               10               0.67
2021/3/11 (Thursday) 5:56:26          74.97                 6.97               8               0.63
2021/3/11 (Thursday) 5:56:27          74.86                 6.97               4               0.68
2021/3/11 (Thursday) 5:56:28          74.86                 6.96               8               0.63
2021/3/11 (Thursday) 5:56:29          74.97                 6.96               4               0.68
2021/3/11 (Thursday) 5:56:30          74.97                 6.96               8               0.62
2021/3/11 (Thursday) 5:56:31          74.97                 6.92               6               0.61
2021/3/11 (Thursday) 5:56:32          74.97                 6.94               8               0.66
2021/3/11 (Thursday) 5:56:33          74.86                 6.96               8               0.63
2021/3/11 (Thursday) 5:56:34          74.86                 6.96               2               0.66
2021/3/11 (Thursday) 5:56:35          74.97                 6.94               10               0.62
2021/3/11 (Thursday) 5:56:36          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:56:37          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:56:38          74.97                 6.96               4               0.62
2021/3/11 (Thursday) 5:56:39          74.97                 6.97               10               0.66
2021/3/11 (Thursday) 5:56:40          74.86                 6.96               8               0.61
2021/3/11 (Thursday) 5:56:41          74.86                 6.97               4               0.66
2021/3/11 (Thursday) 5:56:42          74.97                 6.96               8               0.61
2021/3/11 (Thursday) 5:56:43          74.86                 6.94               6               0.67
2021/3/11 (Thursday) 5:56:44          74.86                 6.96               8               0.63
2021/3/11 (Thursday) 5:56:45          74.86                 6.94               4               0.68
2021/3/11 (Thursday) 5:56:46          74.86                 6.96               12               0.63
2021/3/11 (Thursday) 5:56:47          74.86                 6.94               6               0.63
2021/3/11 (Thursday) 5:56:48          74.86                 6.96               10               0.66
2021/3/11 (Thursday) 5:56:49          74.97                 6.96               10               0.61
2021/3/11 (Thursday) 5:56:50          74.97                 6.94               4               0.66
2021/3/11 (Thursday) 5:56:51          74.97                 6.97               8               0.62
2021/3/11 (Thursday) 5:56:52          74.97                 6.97               6               0.67
2021/3/11 (Thursday) 5:56:54          74.97                 6.94               8               0.63
2021/3/11 (Thursday) 5:56:55          74.86                 6.96               4               0.63
2021/3/11 (Thursday) 5:56:56          74.97                 6.97               10               0.66
2021/3/11 (Thursday) 5:56:57          74.86                 6.97               10               0.61
2021/3/11 (Thursday) 5:56:58          74.97                 6.96               4               0.66
2021/3/11 (Thursday) 5:56:59          74.97                 6.96               10               0.62
2021/3/11 (Thursday) 5:57:0          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:57:1          74.86                 6.96               12               0.63
2021/3/11 (Thursday) 5:57:2          74.86                 6.97               6               0.68
2021/3/11 (Thursday) 5:57:3          74.97                 6.97               8               0.66
2021/3/11 (Thursday) 5:57:4          74.97                 6.96               4               0.61
2021/3/11 (Thursday) 5:57:5          74.97                 6.96               6               0.66
2021/3/11 (Thursday) 5:57:6          74.97                 6.94               8               0.62
2021/3/11 (Thursday) 5:57:7          74.97                 6.96               8               0.68
2021/3/11 (Thursday) 5:57:8          74.86                 6.94               12               0.62
2021/3/11 (Thursday) 5:57:9          74.97                 6.97               4               0.66
2021/3/11 (Thursday) 5:57:10          74.97                 6.96               10               0.66
2021/3/11 (Thursday) 5:57:11          74.86                 6.96               4               0.62
2021/3/11 (Thursday) 5:57:12          74.97                 6.96               8               0.67
2021/3/11 (Thursday) 5:57:13          74.97                 6.96               8               0.62
2021/3/11 (Thursday) 5:57:14          74.86                 6.94               6               0.67
2021/3/11 (Thursday) 5:57:15          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:57:16          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:57:17          74.97                 6.94               8               0.62
2021/3/11 (Thursday) 5:57:18          74.86                 6.94               6               0.63
2021/3/11 (Thursday) 5:57:19          74.86                 6.97               8               0.68
2021/3/11 (Thursday) 5:57:20          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 5:57:21          74.97                 6.97               6               0.66
2021/3/11 (Thursday) 5:57:22          74.97                 6.94               10               0.63
2021/3/11 (Thursday) 5:57:23          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:57:24          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:57:25          74.86                 6.94               4               0.68
2021/3/11 (Thursday) 5:57:26          74.97                 6.94               8               0.66
2021/3/11 (Thursday) 5:57:27          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 5:57:28          74.97                 6.94               12               0.66
2021/3/11 (Thursday) 5:57:29          74.97                 6.94               8               0.62
2021/3/11 (Thursday) 5:57:30          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 5:57:31          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:57:32          74.86                 6.94               8               0.68
2021/3/11 (Thursday) 5:57:33          74.97                 6.94               8               0.60
2021/3/11 (Thursday) 5:57:34          74.86                 6.96               6               0.59
2021/3/11 (Thursday) 5:57:35          74.86                 6.96               10               0.66
2021/3/11 (Thursday) 5:57:36          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:57:37          74.86                 6.94               6               0.67
2021/3/11 (Thursday) 5:57:38          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:57:39          74.86                 6.96               4               0.67
2021/3/11 (Thursday) 5:57:40          74.86                 6.92               10               0.61
2021/3/11 (Thursday) 5:57:41          74.86                 6.92               4               0.65
2021/3/11 (Thursday) 5:57:42          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 5:57:43          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 5:57:44          74.86                 6.92               8               0.68
2021/3/11 (Thursday) 5:57:45          74.86                 6.92               10               0.61
2021/3/11 (Thursday) 5:57:46          74.86                 6.94               6               0.66
2021/3/11 (Thursday) 5:57:47          74.97                 6.94               8               0.59
2021/3/11 (Thursday) 5:57:48          74.86                 6.94               6               0.65
2021/3/11 (Thursday) 5:57:49          74.86                 6.92               10               0.65
2021/3/11 (Thursday) 5:57:50          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 5:57:51          74.97                 6.92               8               0.66
2021/3/11 (Thursday) 5:57:52          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:57:53          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 5:57:54          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 5:57:55          74.86                 6.92               4               0.65
2021/3/11 (Thursday) 5:57:56          74.97                 6.92               10               0.59
2021/3/11 (Thursday) 5:57:57          74.86                 6.94               4               0.59
2021/3/11 (Thursday) 5:57:58          74.86                 6.92               8               0.65
2021/3/11 (Thursday) 5:57:59          74.86                 6.92               2               0.61
2021/3/11 (Thursday) 5:58:0          74.86                 6.94               6               0.66
2021/3/11 (Thursday) 5:58:1          74.86                 6.92               10               0.60
2021/3/11 (Thursday) 5:58:2          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 5:58:3          74.97                 6.92               12               0.57
2021/3/11 (Thursday) 5:58:4          74.86                 6.94               6               0.65
2021/3/11 (Thursday) 5:58:5          74.86                 6.94               10               0.64
2021/3/11 (Thursday) 5:58:6          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 5:58:7          74.97                 6.94               8               0.65
2021/3/11 (Thursday) 5:58:8          74.97                 6.96               12               0.60
2021/3/11 (Thursday) 5:58:9          74.97                 6.92               8               0.66
2021/3/11 (Thursday) 5:58:10          74.97                 6.94               10               0.59
2021/3/11 (Thursday) 5:58:11          74.97                 6.94               6               0.66
2021/3/11 (Thursday) 5:58:12          74.97                 6.90               10               0.59
2021/3/11 (Thursday) 5:58:13          74.86                 6.92               4               0.59
2021/3/11 (Thursday) 5:58:14          74.97                 6.90               8               0.64
2021/3/11 (Thursday) 5:58:15          74.97                 6.92               10               0.59
2021/3/11 (Thursday) 5:58:16          74.97                 6.90               4               0.64
2021/3/11 (Thursday) 5:58:17          74.97                 6.94               12               0.59
2021/3/11 (Thursday) 5:58:18          74.86                 6.92               4               0.65
2021/3/11 (Thursday) 5:58:19          74.97                 6.92               8               0.61
2021/3/11 (Thursday) 5:58:20          74.86                 6.94               2               0.59
2021/3/11 (Thursday) 5:58:21          74.97                 6.94               8               0.66
2021/3/11 (Thursday) 5:58:22          74.86                 6.94               6               0.60
2021/3/11 (Thursday) 5:58:23          74.86                 6.89               6               0.64
2021/3/11 (Thursday) 5:58:24          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 5:58:25          74.86                 6.90               6               0.64
2021/3/11 (Thursday) 5:58:26          74.97                 6.90               12               0.58
2021/3/11 (Thursday) 5:58:27          74.86                 6.94               6               0.64
2021/3/11 (Thursday) 5:58:28          74.86                 6.94               8               0.66
2021/3/11 (Thursday) 5:58:29          74.97                 6.94               6               0.59
2021/3/11 (Thursday) 5:58:30          74.86                 6.92               4               0.66
2021/3/11 (Thursday) 5:58:31          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 5:58:32          74.86                 6.92               4               0.65
2021/3/11 (Thursday) 5:58:33          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 5:58:34          74.86                 6.92               6               0.63
2021/3/11 (Thursday) 5:58:35          74.86                 6.90               8               0.58
2021/3/11 (Thursday) 5:58:36          74.86                 6.92               4               0.58
2021/3/11 (Thursday) 5:58:37          74.86                 6.92               10               0.65
2021/3/11 (Thursday) 5:58:38          74.86                 6.92               6               0.57
2021/3/11 (Thursday) 5:58:39          74.86                 6.92               6               0.66
2021/3/11 (Thursday) 5:58:40          74.86                 6.92               10               0.58
2021/3/11 (Thursday) 5:58:41          74.97                 6.94               6               0.65
2021/3/11 (Thursday) 5:58:42          74.97                 6.92               10               0.57
2021/3/11 (Thursday) 5:58:43          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 5:58:44          74.97                 6.92               12               0.65
2021/3/11 (Thursday) 5:58:45          74.97                 6.94               4               0.57
2021/3/11 (Thursday) 5:58:46          74.86                 6.90               8               0.64
2021/3/11 (Thursday) 5:58:47          74.97                 6.96               12               0.59
2021/3/11 (Thursday) 5:58:48          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 5:58:49          74.97                 6.90               8               0.58
2021/3/11 (Thursday) 5:58:50          74.97                 6.94               4               0.66
2021/3/11 (Thursday) 5:58:51          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 5:58:52          74.97                 6.94               6               0.59
2021/3/11 (Thursday) 5:58:53          74.86                 6.92               8               0.64
2021/3/11 (Thursday) 5:58:54          74.86                 6.94               10               0.58
2021/3/11 (Thursday) 5:58:55          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:58:56          74.86                 6.92               8               0.58
2021/3/11 (Thursday) 5:58:57          74.86                 6.90               4               0.65
2021/3/11 (Thursday) 5:58:58          74.86                 6.90               12               0.59
2021/3/11 (Thursday) 5:58:59          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 5:59:0          74.86                 6.89               10               0.65
2021/3/11 (Thursday) 5:59:1          74.86                 6.92               4               0.57
2021/3/11 (Thursday) 5:59:2          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 5:59:3          74.86                 6.94               10               0.57
2021/3/11 (Thursday) 5:59:4          74.86                 6.92               6               0.64
2021/3/11 (Thursday) 5:59:5          74.97                 6.90               10               0.59
2021/3/11 (Thursday) 5:59:6          74.86                 6.94               4               0.65
2021/3/11 (Thursday) 5:59:7          74.86                 6.92               10               0.66
2021/3/11 (Thursday) 5:59:8          74.86                 6.92               4               0.57
2021/3/11 (Thursday) 5:59:9          74.86                 6.92               10               0.65
2021/3/11 (Thursday) 5:59:10          74.86                 6.92               12               0.58
2021/3/11 (Thursday) 5:59:11          74.75                 6.90               4               0.64
2021/3/11 (Thursday) 5:59:12          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 5:59:13          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 5:59:14          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 5:59:15          74.75                 6.92               4               0.59
2021/3/11 (Thursday) 5:59:16          74.86                 6.89               8               0.65
2021/3/11 (Thursday) 5:59:17          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 5:59:18          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:19          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 5:59:20          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 5:59:21          74.75                 6.90               12               0.59
2021/3/11 (Thursday) 5:59:22          74.75                 6.94               4               0.65
2021/3/11 (Thursday) 5:59:23          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 5:59:24          74.86                 6.90               6               0.59
2021/3/11 (Thursday) 5:59:25          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 5:59:26          74.86                 6.94               10               0.57
2021/3/11 (Thursday) 5:59:27          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 5:59:28          74.86                 6.90               10               0.59
2021/3/11 (Thursday) 5:59:29          74.86                 6.90               2               0.65
2021/3/11 (Thursday) 5:59:30          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 5:59:31          74.75                 6.90               6               0.59
2021/3/11 (Thursday) 5:59:32          74.86                 6.90               10               0.64
2021/3/11 (Thursday) 5:59:33          74.75                 6.94               10               0.57
2021/3/11 (Thursday) 5:59:34          74.75                 6.92               6               0.64
2021/3/11 (Thursday) 5:59:35          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 5:59:36          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 5:59:37          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 5:59:38          74.86                 6.92               4               0.58
2021/3/11 (Thursday) 5:59:39          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 5:59:40          74.86                 6.92               6               0.57
2021/3/11 (Thursday) 5:59:41          74.86                 6.92               2               0.64
2021/3/11 (Thursday) 5:59:42          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 5:59:43          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:44          74.86                 6.90               8               0.57
2021/3/11 (Thursday) 5:59:45          74.75                 6.94               4               0.65
2021/3/11 (Thursday) 5:59:46          74.86                 6.90               10               0.66
2021/3/11 (Thursday) 5:59:47          74.75                 6.92               6               0.59
2021/3/11 (Thursday) 5:59:48          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 5:59:49          74.75                 6.92               12               0.58
2021/3/11 (Thursday) 5:59:50          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:51          74.86                 6.89               6               0.56
2021/3/11 (Thursday) 5:59:52          74.86                 6.90               6               0.64
2021/3/11 (Thursday) 5:59:53          74.86                 6.92               12               0.58
2021/3/11 (Thursday) 5:59:54          74.75                 6.92               2               0.59
2021/3/11 (Thursday) 5:59:55          74.75                 6.90               12               0.65
2021/3/11 (Thursday) 5:59:56          74.86                 6.94               12               0.58
2021/3/11 (Thursday) 5:59:57          74.86                 6.90               2               0.64
2021/3/11 (Thursday) 5:59:58          74.86                 6.90               12               0.57
2021/3/11 (Thursday) 5:59:59          74.86                 6.90               6               0.63
2021/3/11 (Thursday) 6:0:0          74.86                 6.89               8               0.57
2021/3/11 (Thursday) 6:0:1          74.75                 6.92               6               0.58
2021/3/11 (Thursday) 6:0:2          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:0:3          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 6:0:4          74.86                 6.89               6               0.65
2021/3/11 (Thursday) 6:0:5          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:6          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 6:0:7          74.86                 6.92               10               0.56
2021/3/11 (Thursday) 6:0:8          74.86                 6.92               4               0.63
2021/3/11 (Thursday) 6:0:9          74.86                 6.92               10               0.66
2021/3/11 (Thursday) 6:0:10          74.86                 6.90               4               0.59
2021/3/11 (Thursday) 6:0:11          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:0:12          74.86                 6.90               8               0.56
2021/3/11 (Thursday) 6:0:13          74.86                 6.89               4               0.64
2021/3/11 (Thursday) 6:0:14          74.86                 6.90               12               0.55
2021/3/11 (Thursday) 6:0:15          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 6:0:16          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 6:0:17          74.86                 6.92               6               0.58
2021/3/11 (Thursday) 6:0:18          74.86                 6.89               10               0.64
2021/3/11 (Thursday) 6:0:19          74.75                 6.90               4               0.57
