=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.02.01 00:42:51 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)

67.32                            6.97           171                 2959.16
67.44                            7.13           173                 2956.92
67.32                            7.18           171                 2959.16
67.32                            7.16           169                 2963.47
67.44                            6.96           171                 2961.34
67.32                            6.96           178                 2954.63
67.44                            7.16           175                 2959.16
67.44                            7.14           175                 2961.34
67.32                            6.96           175                 2961.34
67.32                            6.97           175                 2956.92
67.44                            7.16           173                 2959.16
67.32                            7.16           175                 2963.47
67.32                            7.14           173                 2956.92
67.44                            6.97           171                 2956.92
67.44                            6.97           175                 2963.47
67.32                            6.97           173                 2959.16
67.32                            7.01           175                 2952.29
67.44                            7.14           171                 2959.16
67.44                            7.11           175                 2959.16
67.44                            6.97           175                 2952.29
67.32                            7.01           171                 2956.92
67.44                            7.16           171                 2956.92
67.44                            7.04           169                 2952.29
67.44                            6.96           171                 2952.29
67.44                            7.01           171                 2959.16
67.44                            7.16           171                 2956.92
67.44                            7.14           168                 2952.29
67.44                            6.96           171                 2967.57
67.44                            7.14           168                 2975.12
67.44                            6.96           166                 2973.31
67.55                            7.16           169                 2969.53
67.44                            7.08           168                 2967.57
67.55                            7.01           166                 2973.31
67.55                            7.14           168                 2971.45
67.55                            6.97           169                 2967.57
67.66                            7.16           168                 2963.47
67.55                            7.16           168                 2965.54
67.66                            6.96           168                 2967.57
67.55                            7.01           166                 2967.57
67.55                            7.16           168                 2965.54
67.55                            7.14           168                 2961.34
67.66                            7.14           166                 2956.92
67.66                            7.08           166                 2956.92
67.55                            6.97           166                 2959.16
67.55                            6.99           168                 2959.16
67.66                            7.16           166                 2959.16
67.66                            6.96           168                 2956.92
67.55                            6.97           166                 2952.29
67.55                            7.18           168                 2949.89
67.66                            7.16           164                 2952.29
67.55                            6.97           166                 2954.63
67.55                            6.96           166                 2954.63
67.66                            7.16           164                 2949.89
67.55                            7.14           166                 2942.38
67.55                            6.96           166                 2942.38
67.66                            6.97           164                 2949.89
67.66                            7.16           166                 2949.89
67.55                            7.16           166                 2947.44
67.55                            7.16           168                 2942.38
67.66                            7.16           166                 2942.38
67.66                            7.14           164                 2947.44
67.55                            7.06           168                 2952.29
67.66                            6.97           166                 2949.89
67.66                            7.16           166                 2944.94
67.66                            7.16           164                 2947.44
67.55                            7.14           166                 2949.89
67.55                            6.96           168                 2949.89
67.66                            6.97           166                 2942.38
67.66                            7.16           166                 2944.94
67.55                            7.18           168                 2949.89
67.66                            7.16           168                 2952.29
67.55                            6.96           166                 2947.44
67.55                            6.96           168                 2947.44
67.66                            7.16           168                 2944.94
67.66                            7.16           168                 2949.89
67.66                            7.14           164                 2952.29
67.55                            6.96           168                 2952.29
67.66                            6.97           166                 2952.29
67.66                            7.18           168                 2947.44
67.66                            7.16           168                 2944.94
67.55                            7.16           166                 2944.94
67.55                            7.09           168                 2949.89
67.55                            6.97           168                 2954.63
67.55                            6.97           166                 2949.89
67.55                            7.11           164                 2947.44
67.66                            7.16           166                 2942.38
67.55                            7.18           168                 2949.89
67.55                            7.16           164                 2952.29
67.66                            6.96           166                 2947.44
67.66                            6.97           166                 2942.38
67.66                            6.99           166                 2944.94
67.66                            7.16           166                 2949.89
67.55                            7.16           168                 2949.89
67.55                            7.16           168                 2947.44
67.66                            6.97           166                 2944.94
67.66                            6.97           168                 2942.38
67.66                            7.16           164                 2942.38
67.66                            7.01           166                 2947.44
67.66                            6.97           166                 2949.89
67.66                            6.99           168                 2947.44
67.66                            7.16           166                 2944.94
67.66                            7.14           166                 2942.38
67.66                            6.97           166                 2942.38
67.66                            6.97           168                 2947.44
67.66                            6.97           166                 2947.44
67.55                            6.97           168                 2944.94
67.66                            7.06           168                 2939.77
67.66                            7.18           169                 2942.38
67.66                            7.18           168                 2947.44
67.66                            7.16           166                 2942.38
67.66                            7.16           164                 2939.77
67.66                            7.16           169                 2947.44
67.66                            7.14           166                 2952.29
67.77                            7.09           169                 2947.44
67.66                            6.97           168                 2947.44
67.66                            6.99           166                 2954.63
67.66                            7.16           164                 2949.89
67.66                            7.16           166                 2947.44
67.77                            7.08           168                 2952.29
67.66                            6.97           166                 2954.63
67.77                            7.16           168                 2947.44
67.77                            7.11           168                 2949.89
67.66                            6.97           166                 2954.63
67.77                            7.04           166                 2949.89
67.77                            7.16           166                 2944.94
67.66                            7.14           168                 2952.29
67.66                            6.97           166                 2952.29
67.66                            6.97           166                 2944.94
67.66                            6.97           168                 2949.89
67.66                            7.11           166                 2954.63
67.77                            7.16           166                 2949.89
67.77                            7.09           169                 2944.94
67.77                            6.97           168                 2949.89
67.66                            7.01           168                 2952.29
67.66                            7.18           169                 2949.89
67.66                            7.16           168                 2942.38
67.66                            7.16           166                 2947.44
67.66                            7.11           166                 2954.63
67.66                            6.96           168                 2947.44
67.77                            6.97           164                 2947.44
67.89                            7.02           166                 2952.29
67.77                            7.16           168                 2949.89
67.77                            7.13           168                 2944.94
67.66                            7.02           166                 2944.94
67.77                            6.97           166                 2952.29
67.77                            7.18           166                 2949.89
67.66                            6.97           166                 2944.94
67.77                            6.97           168                 2947.44
67.77                            7.01           166                 2949.89
67.89                            7.16           164                 2952.29
67.77                            6.97           166                 2947.44
67.77                            7.01           168                 2942.38
67.77                            7.16           168                 2944.94
67.66                            6.97           166                 2949.89
67.66                            6.97           166                 2949.89
67.77                            7.16           168                 2944.94
67.77                            7.16           164                 2942.38
67.66                            7.14           169                 2944.94
67.66                            7.14           166                 2949.89
67.66                            6.96           169                 2949.89
67.77                            6.97           168                 2942.38
67.66                            6.97           164                 2939.77
67.77                            7.16           168                 2944.94
67.77                            7.14           166                 2947.44
67.77                            6.97           168                 2947.44
67.66                            6.97           168                 2944.94
67.77                            7.01           166                 2939.77
67.77                            7.16           166                 2937.11
67.66                            7.16           169                 2939.77
67.66                            7.08           169                 2944.94
67.77                            6.99           166                 2942.38
67.66                            7.16           169                 2937.11
67.66                            7.16           168                 2939.77
67.77                            6.97           166                 2947.44
67.77                            7.06           166                 2944.94
67.77                            7.14           166                 2939.77
67.77                            6.97           166                 2947.44
67.77                            6.97           166                 2944.94
67.77                            6.99           168                 2961.34
67.77                            7.16           166                 2963.47
67.77                            6.96           166                 2967.57
67.77                            6.97           169                 2971.45
67.77                            6.99           166                 2971.45
67.77                            7.16           168                 2976.87
67.77                            7.16           168                 2976.87
67.89                            7.16           168                 2971.45
67.66                            7.09           169                 2973.31
67.77                            6.97           168                 2978.57
67.77                            6.99           168                 2975.12
67.77                            6.99           168                 2971.45
67.77                            7.16           168                 2973.31
67.77                            7.16           168                 2976.87
67.77                            7.14           166                 2975.12
67.77                            6.96           166                 2971.45
67.77                            6.99           168                 2971.45
67.77                            7.16           169                 2975.12
67.77                            7.13           168                 2975.12
67.77                            6.97           168                 2971.45
67.77                            7.18           166                 2969.53
67.77                            7.16           166                 2973.31
67.77                            6.97           166                 2976.87
67.66                            7.16           168                 2973.31
67.77                            7.14           166                 2969.53
67.77                            6.97           166                 2971.45
67.77                            7.18           166                 2973.31
67.77                            6.97           168                 2975.12
67.77                            6.97           168                 2973.31
67.66                            7.09           166                 2969.53
67.77                            7.18           166                 2971.45
67.66                            6.97           166                 2973.31
67.77                            7.18           168                 2971.45
67.77                            7.16           164                 2967.57
67.77                            6.97           166                 2967.57
67.66                            7.02           168                 2973.31
67.77                            7.16           164                 2969.53
67.77                            7.14           166                 2965.54
67.77                            6.97           168                 2971.45
67.66                            7.16           168                 2969.53
67.89                            7.11           168                 2963.47
67.77                            6.97           168                 2967.57
67.77                            7.16           168                 2975.12
67.77                            6.97           168                 2969.53
67.77                            6.97           166                 2971.45
67.66                            6.99           166                 2973.31
67.77                            7.18           166                 2975.12
67.77                            7.04           168                 2973.31
67.77                            6.99           168                 2971.45
67.77                            7.16           169                 2975.12
67.77                            7.06           169                 2971.45
67.77                            7.16           166                 2967.57
67.77                            7.16           166                 2963.47
67.77                            7.08           166                 2967.57
67.89                            7.01           168                 2971.45
67.77                            7.16           164                 2969.53
67.77                            7.09           166                 2967.57
67.77                            6.97           164                 2971.45
67.77                            7.01           166                 2973.31
67.77                            7.06           166                 2969.53
