=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 202	1.02.01 01:02:52 =~=~	=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)	pH	TDS (In PPM)	Turbidity (In NTU)
70.36	7.02	183	2909.22
70.36	7.14	185	2909.22
70.36	7.04	183	2909.22
70.47	7.04	181	2927.45
70.36	7.14	185	2927.45
70.47	6.99	185	2930.3
70.36	7.01	185	2933.1
70.36	7.13	181	2933.1
70.47	6.97	183	2930.3
70.36	7.14	185	2933.1
70.47	6.97	181	2935.84
70.36	6.97	181	2938.53
70.36	7.14	181	2941.16
70.36	7.13	185	2933.1
70.36	6.97	185	2924.55
70.25	6.97	183	2930.3
70.36	6.99	185	2935.84
70.36	6.99	185	2938.53
70.36	7.14	183	2933.1
70.47	7.11	183	2930.3
70.47	6.99	183	2930.3
70.36	7.01	185	2930.3
70.36	7.13	185	2930.3
70.36	6.97	185	2930.3
70.36	6.99	187	2933.1
70.36	7.13	181	2933.1
70.36	6.99	185	2933.1
70.47	7.13	185	2935.84
70.36	6.99	183	2938.53
70.36	7.13	181	2921.59
70.36	6.99	181	2924.55
70.47	7.14	185	2921.59
70.36	7.13	183	2930.3
70.36	7.01	181	2930.3
70.47	7.09	183	2924.55
70.36	7.14	181	2924.55
70.36	6.99	181	2924.55
70.47	7.14	185	2935.84
70.36	7.13	181	2930.3
70.36	6.97	181	2927.45
70.36	7.14	185	2924.55
70.36	6.99	183	2921.59
70.36	7.02	181	2924.55
70.36	7.13	183	2927.45
70.47	6.97	185	2941.16
70.47	7.13	185	2943.75
70.47	7.11	181	2943.75
70.47	6.97	181	2941.16
70.47	7.13	181	2941.16
70.36	6.97	185	2941.16
70.47	7.13	183	2941.16
70.47	6.99	181	2938.53
70.36	7.14	183	2938.53
70.36	6.99	181	2935.84
70.36	7.14	183	2935.84
70.47	7.01	183	2933.1
70.36	6.97	181	2933.1
70.47	7.06	185	2933.1
70.47	6.97	181	2933.1
70.36	7.13	183	2933.1
70.47	6.97	183	2933.1
70.36	7.13	181	2935.84
70.47	6.99	183	2933.1
70.47	7.13	185	2938.53
70.36	6.97	181	2941.16
70.36	7.13	185	2941.16
70.36	7.11	183	2938.53
70.36	6.99	181	2935.84
70.36	7.13	185	2935.84
70.47	7.11	183	2892.56
70.36	6.99	185	2892.56
70.36	7.13	181	2892.56
70.47	6.97	185	2938.53
70.36	7.01	185	2938.53
70.36	7.08	185	2938.53
70.36	6.99	181	2941.16
70.36	7.13	183	2943.75
70.36	6.97	185	2943.75
70.47	7.13	183	2941.16
70.36	7.11	181	2943.75
70.36	6.99	185	2943.75
70.47	7.11	181	2941.16
70.36	6.97	185	2941.16
70.36	7.13	181	2943.75
70.47	6.97	180	2943.75
70.47	7.13	183	2943.75
70.36	6.97	183	2938.53
70.47	7.13	183	2941.16
70.36	7.02	183	2941.16
70.47	6.99	185	2941.16
70.47	7.13	185	2941.16
70.36	7.08	183	2941.16
70.36	6.99	183	2943.75
70.36	7.14	183	2943.75
70.47	7.11	181	2943.75
70.36	6.97	183	2946.28
70.36	7.14	185	2941.16
70.47	6.99	181	2946.28
70.47	7.13	185	2943.75
70.36	6.97	183	2948.75
70.47	7.14	185	2948.75
70.47	7.06	185	2948.75
70.47	6.99	181	2948.75
70.36	6.99	181	2951.17
70.47	7.13	183	2953.54
70.47	7.11	183	2955.86
70.47	7.01	183	2955.86
70.36	6.97	181	2955.86
70.47	6.97	183	2958.12
70.47	7.14	181	2958.12
70.47	7.13	181	2955.86
70.47	6.99	183	2958.12
70.47	6.99	185	2958.12
70.47	7.13	183	2960.32
70.47	7.11	183	2955.86
70.47	6.97	181	2955.86
70.47	7.04	183	2958.12
70.47	7.13	185	2955.86
70.36	6.99	185	2955.86
70.47	6.99	181	2955.86
70.47	7.14	181	2955.86
70.47	6.99	181	2955.86
70.36	7.14	183	2958.12
70.47	7.13	181	2964.58
70.47	6.99	181	2962.48
70.36	6.97	181	2964.58
70.47	6.99	181	2966.63
70.47	7.11	185	2964.58
70.47	7.13	183	2964.58
70.47	6.97	183	2966.63
70.47	6.99	185	2964.58
70.47	7.14	183	2964.58
