Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)

64.40                            7.66           122                 1855.00

64.40                            7.84           124                 1899.94

64.40                            7.88           125                 1922.07

64.40                            7.64           125                 1922.07

64.40                            7.64           122                 1943.97

64.40                            7.66           122                 1965.66

64.51                            7.86           124                 1965.66

64.51                            7.81           122                 1965.66

64.51                            7.66           122                 1987.11

64.51                            7.64           122                 2029.36

64.40                            7.67           120                 2029.36

64.40                            7.88           124                 2029.36

64.51                            7.81           124                 2008.35

64.51                            7.64           122                 2008.35

64.40                            7.66           120                 2029.36

64.40                            7.66           124                 2029.36

64.51                            7.64           125                 2029.36

64.51                            7.84           124                 2029.36

64.51                            7.62           120                 2029.36

64.51                            7.62           122                 2029.36

64.51                            7.66           124                 2050.14

64.51                            7.62           124                 2070.71

64.40                            7.62           120                 2050.14

64.40                            7.64           122                 2070.71

64.40                            7.86           120                 2070.71

64.51                            7.64           122                 2070.71

64.29                            7.64           125                 2070.71

64.51                            7.81           122                 2070.71

64.40                            7.66           122                 2070.71

64.40                            7.86           124                 2070.71

64.51                            7.67           124                 2070.71

64.40                            7.69           125                 2050.14

64.40                            7.66           120                 2050.14

64.40                            7.88           122                 2070.71

64.40                            7.64           125                 2050.14

64.40                            7.66           124                 2029.36

64.40                            7.64           120                 2029.36

64.40                            7.72           122                 2008.35

64.51                            7.83           124                 2008.35

64.40                            7.64           124                 1987.11

64.40                            7.66           125                 1987.11

64.51                            7.83           122                 1965.66

64.40                            7.66           124                 1987.11

64.51                            7.86           124                 1987.11

64.51                            7.62           124                 1965.66

64.51                            7.84           120                 1943.97

64.51                            7.62           122                 1943.97

64.40                            7.86           122                 1943.97

64.51                            7.66           124                 1943.97

64.51                            7.83           124                 1922.07

64.40                            7.66           120                 1922.07

64.51                            7.84           120                 1922.07

64.51                            7.71           125                 1922.07

64.51                            7.81           124                 1899.94

64.51                            7.86           124                 1899.94

64.51                            7.64           125                 1877.58

64.51                            7.71           122                 1899.94

64.51                            7.84           124                 1899.94

64.62                            7.81           124                 1877.58

64.51                            7.84           124                 1877.58

64.51                            7.64           124                 1877.58

64.40                            7.84           122                 1855.00

64.51                            7.66           125                 1855.00

64.40                            7.62           124                 1832.20

64.40                            7.64           120                 1832.20

64.51                            7.64           120                 1855.00

64.51                            7.86           124                 1855.00

64.51                            7.84           125                 1832.20

64.51                            7.83           125                 1832.20

64.51                            7.83           124                 1832.20

64.51                            7.86           122                 1832.20

64.62                            7.86           124                 1832.20

64.51                            7.84           124                 1809.17

64.51                            7.62           120                 1809.17

64.51                            7.64           122                 1832.20

64.51                            7.69           122                 1832.20

64.51                            7.84           125                 1809.17

64.51                            7.84           124                 1809.17

64.51                            7.81           120                 1809.17

64.51                            7.64           122                 1809.17

64.51                            7.67           124                 1690.68

64.51                            7.86           125                 1690.68

64.51                            7.83           122                 1666.31

64.51                            7.64           122                 1690.68

64.51                            7.83           124                 1690.68

64.51                            7.86           124                 1714.83

64.51                            7.71           125                 1690.68

64.51                            7.64           122                 1714.83

64.40                            7.79           122                 1666.31

64.51                            7.83           125                 1666.31

64.62                            7.66           125                 1641.71

64.51                            7.81           127                 1616.89

64.51                            7.72           122                 1641.71

64.51                            7.83           122                 1666.31

64.51                            7.84           127                 1666.31

64.62                            7.79           124                 1809.17

64.51                            7.79           124                 1832.20

64.51                            7.83           124                 1832.20

64.51                            7.86           122                 1809.17

64.51                            7.71           127                 1785.92

64.51                            7.84           125                 1785.92

64.51                            7.83           124                 1785.92

64.51                            7.86           124                 1809.17

64.62                            7.86           125                 1785.92

64.51                            7.84           125                 1785.92

64.51                            7.72           125                 1762.45

64.51                            7.64           122                 1738.75

64.51                            7.67           122                 1738.75

64.62                            7.71           127                 1738.75

64.51                            7.83           125                 1714.83

64.51                            7.83           122                 1714.83

64.51                            7.83           122                 1714.83

64.51                            7.79           122                 1714.83

64.62                            7.74           125                 1714.83

64.62                            7.83           125                 1714.83

64.51                            7.62           122                 1714.83

64.62                            7.84           122                 1738.75

64.51                            7.66           127                 1714.83

64.51                            7.62           125                 1714.83

64.62                            7.67           125                 1714.83

64.51                            7.84           124                 1714.83

64.51                            7.66           122                 1738.75

64.62                            7.62           127                 1714.83

64.62                            7.62           127                 1714.83

64.51                            7.66           122                 1714.83

64.51                            7.83           122                 1714.83

64.62                            7.79           125                 1714.83

64.51                            7.81           127                 1690.68

64.62                            7.84           125                 1690.68

64.51                            7.83           124                 1690.68

64.62                            7.79           124                 1690.68

64.62                            7.62           127                 1690.68

64.51                            7.66           125                 1690.68

64.62                            7.83           124                 1666.31

64.51                            7.64           124                 1666.31

64.62                            7.72           124                 1690.68

64.74                            7.78           125                 1666.31

64.62                            7.83           125                 1666.31

64.62                            7.64           124                 1666.31

64.62                            7.64           122                 1666.31

64.62                            7.84           125                 1666.31

64.62                            7.69           125                 1666.31

64.62                            7.62           125                 1641.71

64.62                            7.79           124                 1641.71

64.62                            7.84           124                 1641.71

64.62                            7.67           125                 1616.89

64.62                            7.67           125                 1591.85

64.62                            7.79           124                 1566.58

64.51                            7.83           122                 1541.09

64.62                            7.67           122                 1515.38

64.62                            7.64           125                 1515.38

64.74                            7.67           125                 1489.44

64.62                            7.66           122                 1489.44

64.74                            7.86           122                 1489.44

64.62                            7.84           127                 1463.27

64.74                            7.66           125                 1463.27

64.74                            7.83           129                 1463.27

64.62                            7.64           125                 1410.27

64.62                            7.66           124                 1410.27

64.62                            7.83           127                 1410.27

64.62                            7.86           127                 1410.27

64.62                            7.64           122                 1383.44

64.62                            7.64           124                 1410.27

64.74                            7.72           124                 1383.44

64.74                            7.83           125                 1356.38

64.74                            7.84           125                 1356.38

64.62                            7.64           122                 1356.38

64.62                            7.64           124                 1356.38

64.62                            7.83           125                 1356.38

64.62                            7.84           129                 1356.38

64.62                            7.64           124                 1356.38

64.51                            7.81           122                 1356.38

64.62                            7.81           124                 1356.38

64.62                            7.84           127                 1356.38

64.74                            7.66           125                 1356.38

64.62                            7.76           122                 1356.38

64.62                            7.83           122                 1356.38

64.74                            7.79           125                 1356.38

64.62                            7.66           127                 1356.38

64.62                            7.79           125                 1356.38

64.62                            7.83           124                 1356.38

64.62                            7.66           124                 1356.38

64.62                            7.83           125                 1356.38

64.62                            7.66           125                 1329.09

64.62                            7.62           124                 1329.09

64.51                            7.81           124                 1301.58

64.62                            7.64           124                 1356.38

64.62                            7.84           125                 1329.09

64.74                            7.67           127                 1329.09

64.62                            7.62           124                 1329.09

64.62                            7.86           124                 1329.09

64.62                            7.66           125                 1329.09

64.62                            7.84           127                 1329.09

64.74                            7.67           124                 1329.09

64.62                            7.62           125                 1329.09

64.62                            7.84           125                 1329.09

64.74                            7.66           125                 1329.09




