=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 2021.	01.31 18:56:07 =~=~	=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)	pH	TDS (In PPM)	Turbidity (In NTU)
65.86	7.59	134	954.01
65.97	7.78	136	923.58
66.09	7.64	134	892.94
66.09	7.6	136	892.94
66.09	7.57	136	862.07
65.97	7.59	134	862.07
66.09	7.59	134	830.98
66.09	7.6	136	830.98
66.09	7.62	138	830.98
66.09	7.59	134	799.66
66.09	7.59	132	799.66
66.09	7.6	134	799.66
66.09	7.6	138	799.66
66.2	7.78	138	768.12
66.09	7.79	134	768.12
66.09	7.78	136	768.12
66.09	7.74	138	768.12
66.09	7.62	140	768.12
66.2	7.6	138	768.12
66.2	7.79	134	768.12
66.09	7.71	134	768.12
66.2	7.64	138	768.12
66.2	7.6	136	768.12
66.09	7.81	136	768.12
66.2	7.67	134	768.12
66.2	7.62	136	768.12
66.2	7.79	138	768.12
66.2	7.71	136	768.12
66.09	7.62	136	768.12
66.2	7.81	134	768.12
66.2	7.81	140	768.12
66.2	7.79	140	768.12
66.09	7.59	132	768.12
66.09	7.6	132	768.12
66.09	7.67	134	768.12
66.2	7.81	138	768.12
66.2	7.6	138	768.12
66.2	7.79	134	768.12
66.2	7.62	134	799.66
66.2	7.81	136	799.66
66.2	7.62	138	799.66
66.2	7.79	134	799.66
66.09	7.6	132	799.66
66.2	7.71	134	799.66
66.2	7.81	136	799.66
66.2	7.6	138	799.66
66.09	7.62	136	799.66
66.2	7.79	134	799.66
66.2	7.59	140	830.98
66.2	7.84	138	830.98
66.2	7.62	136	830.98
66.2	7.66	134	799.66
66.2	7.81	136	799.66
66.31	7.64	136	799.66
66.31	7.83	138	830.98
66.2	7.79	136	830.98
66.2	7.62	134	830.98
66.2	7.81	138	830.98
66.31	7.79	138	830.98
66.2	7.6	136	830.98
66.2	7.81	136	830.98
66.2	7.6	136	862.07
66.2	7.83	136	862.07
66.2	7.66	138	830.98
66.2	7.64	136	862.07
66.2	7.81	134	862.07
66.2	7.64	134	862.07
66.2	7.84	140	862.07
66.2	7.62	138	862.07
66.2	7.81	134	862.07
66.2	7.62	136	862.07
66.31	7.83	138	862.07
66.31	7.74	138	862.07
66.31	7.64	134	862.07
66.31	7.78	132	862.07
66.31	7.67	132	892.94
66.31	7.83	136	892.94
66.31	7.81	136	892.94
66.2	7.6	136	892.94
66.31	7.83	132	892.94
66.31	7.62	138	892.94
66.31	7.81	140	892.94
66.31	7.64	138	892.94
66.31	7.71	136	892.94
66.31	7.66	134	892.94
66.31	7.78	136	892.94
66.43	7.66	138	892.94
66.2	7.81	134	892.94
66.43	7.6	136	892.94
66.31	7.64	132	892.94
66.31	7.83	138	892.94
66.31	7.6	138	892.94
66.2	7.72	134	892.94
66.31	7.81	134	892.94
66.31	7.64	138	923.58
66.31	7.76	136	923.58
66.31	7.74	136	923.58
66.2	7.62	132	923.58
66.2	7.81	132	954.01
66.31	7.81	138	954.01
66.2	7.79	138	954.01
66.31	7.64	134	954.01
66.31	7.83	134	954.01
66.31	7.83	138	954.01
66.31	7.64	136	954.01
66.43	7.66	136	954.01
66.31	7.83	136	954.01
66.43	7.84	136	954.01
66.31	7.83	138	954.01
66.31	7.62	136	954.01
66.31	7.64	136	954.01
66.31	7.83	134	954.01
66.31	7.83	136	954.01
66.31	7.79	136	954.01
66.31	7.64	138	954.01
66.31	7.64	134	954.01
66.31	7.67	132	954.01
66.43	7.83	140	954.01
66.31	7.84	140	954.01
66.31	7.79	134	954.01
66.31	7.62	134	954.01
66.43	7.84	134	954.01
66.43	7.83	136	954.01
66.43	7.6	138	954.01
66.31	7.81	136	954.01
66.31	7.83	134	954.01
66.43	7.66	136	954.01
66.43	7.83	138	954.01
66.43	7.74	134	954.01
66.43	7.67	134	954.01
66.31	7.83	134	954.01
66.43	7.64	136	954.01
66.43	7.81	138	954.01
66.31	7.62	132	1014.18
66.43	7.64	132	1014.18
66.43	7.76	136	1014.18
66.43	7.84	136	1014.18
66.43	7.83	138	1014.18
66.43	7.83	136	1014.18
66.31	7.79	136	1014.18
66.43	7.67	138	1014.18
66.54	7.66	136	984.2
66.43	7.83	134	984.2
66.43	7.62	134	984.2
66.43	7.67	138	984.2
66.43	7.81	140	984.2
66.43	7.64	140	984.2
66.43	7.83	134	984.2
66.31	7.81	134	984.2
66.43	7.64	136	984.2
66.43	7.66	140	984.2
66.43	7.83	136	984.2
66.31	7.81	132	984.2
66.43	7.64	134	984.2
66.43	7.64	136	984.2
66.43	7.84	138	984.2
66.43	7.79	134	954.01
66.43	7.62	134	984.2
66.54	7.66	138	984.2
66.54	7.79	136	984.2
66.43	7.62	134	984.2
66.43	7.83	134	954.01
66.54	7.66	138	984.2
66.43	7.84	140	1014.18
66.54	7.64	138	1014.18
66.43	7.76	134	1014.18
66.43	7.84	136	1014.18
66.43	7.74	138	1014.18
66.54	7.66	136	1014.18
66.43	7.64	132	1014.18
66.43	7.62	132	1014.18
66.43	7.86	138	1014.18
66.54	7.83	138	1014.18
66.54	7.84	138	1014.18
66.54	7.66	136	1014.18
66.43	7.64	134	1014.18
66.54	7.86	138	1014.18
66.43	7.66	138	1014.18
66.54	7.64	138	1014.18
66.43	7.84	132	1014.18
66.43	7.66	134	1014.18
66.43	7.72	136	1014.18
66.43	7.81	138	984.2
66.43	7.69	134	984.2
66.54	7.64	136	1014.18
66.54	7.78	140	1014.18
66.54	7.83	138	1014.18
66.54	7.83	136	984.2
66.54	7.81	132	1014.18
66.54	7.84	136	1014.18
66.54	7.84	138	1014.18
66.54	7.66	138	1014.18
66.43	7.62	136	1014.18
66.43	7.84	134	1014.18
66.65	7.84	134	1014.18
66.54	7.86	136	1014.18
66.54	7.69	138	1014.18
66.43	7.64	134	1014.18
66.65	7.66	132	1014.18
66.65	7.83	138	1014.18
66.54	7.86	138	1014.18
66.54	7.83	136	1014.18
66.54	7.66	134	984.2
