=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 202	1.01.31 19:15:32 =~=~	=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)	pH	TDS (In PPM)	Turbidity (In NTU)
64.29	7.74	134	574.16
64.4	7.88	134	541.05
64.4	7.84	132	541.05
64.4	7.67	131	541.05
64.4	7.67	132	507.72
64.4	7.74	134	507.72
64.4	7.84	134	507.72
64.4	7.69	132	474.16
64.4	7.67	131	474.16
64.4	7.86	134	440.37
64.51	7.69	134	440.37
64.51	7.86	134	440.37
64.4	7.69	134	406.37
64.51	7.69	132	406.37
64.51	7.86	132	406.37
64.4	7.72	132	372.14
64.51	7.67	129	372.14
64.4	7.66	132	372.14
64.4	7.84	134	372.14
64.51	7.86	134	372.14
64.51	7.84	134	372.14
64.51	7.83	132	372.14
64.51	7.86	131	372.14
64.51	7.86	132	372.14
64.62	7.84	134	337.68
64.51	7.84	132	337.68
64.51	7.84	131	337.68
64.51	7.84	136	337.68
64.51	7.84	132	337.68
64.62	7.64	134	372.14
64.51	7.81	131	406.37
64.51	7.84	129	337.68
64.51	7.86	132	337.68
64.51	7.84	134	337.68
64.62	7.83	131	337.68
64.51	7.86	132	303
64.51	7.69	134	303
64.51	7.69	132	303
64.51	7.67	132	303
64.51	7.72	131	303
64.51	7.86	129	303
64.51	7.79	136	303
64.51	7.66	132	303
64.51	7.83	132	268.1
64.51	7.86	132	268.1
64.62	7.69	134	268.1
64.62	7.74	134	268.1
64.62	7.86	134	268.1
64.62	7.83	132	268.1
64.51	7.86	129	268.1
64.51	7.64	134	268.1
64.51	7.84	132	268.1
64.51	7.64	129	268.1
64.51	7.84	132	268.1
64.62	7.78	134	268.1
64.62	7.64	134	268.1
64.62	7.81	136	303
64.62	7.84	132	303
64.62	7.67	129	303
64.62	7.67	134	337.68
64.62	7.66	134	372.14
64.62	7.64	131	406.37
64.62	7.64	131	440.37
64.62	7.83	134	474.16
64.62	7.72	134	474.16
64.62	7.83	134	507.72
64.62	7.67	131	507.72
64.62	7.84	132	541.05
64.51	7.66	132	541.05
64.62	7.83	136	541.05
64.74	7.69	131	541.05
64.74	7.64	131	574.16
64.74	7.84	134	574.16
64.74	7.69	134	574.16
64.74	7.62	134	574.16
64.62	7.83	129	574.16
64.74	7.69	132	574.16
64.74	7.64	134	574.16
64.74	7.84	134	574.16
64.62	7.83	129	574.16
64.74	7.64	132	574.16
64.74	7.84	132	574.16
64.74	7.86	134	574.16
64.74	7.72	136	574.16
64.62	7.67	132	607.05
64.74	7.64	131	607.05
64.74	7.69	134	607.05
64.74	7.83	134	607.05
64.74	7.74	129	607.05
64.62	7.64	129	574.16
64.62	7.84	132	574.16
64.62	7.72	136	574.16
64.74	7.69	132	541.05
64.74	7.74	131	541.05
64.62	7.71	131	507.72
64.74	7.81	136	507.72
64.74	7.69	134	474.16
64.74	7.64	131	474.16
64.74	7.84	131	440.37
64.74	7.66	131	440.37
64.74	7.84	136	406.37
64.74	7.71	134	406.37
64.74	7.64	131	372.14
64.74	7.79	132	372.14
64.74	7.83	132	337.68
64.74	7.83	132	337.68
64.74	7.83	131	303
64.74	7.66	131	303
64.74	7.64	132	303
64.74	7.66	134	268.1
64.74	7.64	134	268.1
64.74	7.84	129	232.97
64.74	7.67	134	197.62
64.85	7.84	136	232.97
64.85	7.84	134	232.97
64.62	7.64	132	232.97
64.74	7.83	132	232.97
64.74	7.66	136	197.62
64.74	7.66	134	197.62
64.74	7.83	134	197.62
64.74	7.79	131	197.62
64.74	7.64	134	197.62
64.85	7.83	134	197.62
64.74	7.76	138	197.62
64.74	7.66	134	197.62
64.74	7.81	132	162.05
64.85	7.84	134	162.05
64.85	7.69	136	126.25
64.85	7.66	134	126.25
