=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 19:39:47 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)

64.85                            7.74           122                 1383.44
64.96                            7.54           120                 1410.27
64.96                            7.59           120                 1410.27
64.96                            7.74           124                 1410.27
64.96                            7.72           124                 1383.44
64.96                            7.72           122                 1410.27
64.96                            7.55           122                 1410.27
64.96                            7.54           124                 1410.27
64.96                            7.74           125                 1383.44
64.96                            7.54           122                 1329.09
64.96                            7.54           122                 1329.09
64.96                            7.71           120                 1329.09
65.07                            7.74           124                 1463.27
64.96                            7.55           124                 1383.44
64.96                            7.52           120                 1356.38
64.85                            7.72           120                 1329.09
64.96                            7.55           124                 1301.58
64.96                            7.67           124                 1329.09
64.96                            7.74           124                 1329.09
64.96                            7.55           120                 1489.44
65.07                            7.55           120                 1463.27
64.96                            7.72           125                 1463.27
64.96                            7.74           127                 1436.88
64.96                            7.54           122                 1436.88
64.96                            7.52           120                 1410.27
65.07                            7.72           122                 1410.27
64.96                            7.74           124                 1410.27
64.96                            7.55           125                 1410.27
64.96                            7.52           122                 1410.27
64.96                            7.74           124                 1383.44
64.96                            7.64           124                 1383.44
64.96                            7.54           124                 1383.44
64.96                            7.74           122                 1383.44
64.85                            7.54           122                 1383.44
65.07                            7.64           122                 1383.44
65.07                            7.76           124                 1383.44
64.96                            7.57           124                 1356.38
64.96                            7.54           122                 1356.38
64.96                            7.74           122                 1383.44
65.07                            7.74           124                 1356.38
64.96                            7.76           124                 1356.38
64.96                            7.60           120                 1329.09
64.96                            7.54           124                 1356.38
64.96                            7.55           120                 1329.09
64.96                            7.74           125                 1329.09
64.96                            7.76           124                 1329.09
64.96                            7.74           122                 1329.09
64.96                            7.76           122                 1329.09
64.96                            7.76           125                 1329.09
65.07                            7.76           124                 1329.09
64.96                            7.74           122                 1329.09
65.07                            7.76           122                 1329.09
65.07                            7.78           120                 1329.09
65.07                            7.76           124                 1329.09
65.07                            7.71           124                 1301.58
65.07                            7.54           122                 1301.58
64.96                            7.54           122                 1301.58
65.07                            7.67           125                 1301.58
64.96                            7.76           124                 1301.58
65.07                            7.76           125                 1301.58
64.96                            7.76           122                 1273.85
64.96                            7.76           124                 1273.85
65.07                            7.76           122                 1273.85
65.07                            7.76           124                 1273.85
65.07                            7.74           120                 1273.85
65.07                            7.74           122                 1273.85
65.07                            7.74           125                 1273.85
65.07                            7.76           125                 1273.85
64.96                            7.76           124                 1245.89
65.07                            7.76           122                 1245.89
65.07                            7.76           122                 1245.89
65.07                            7.78           124                 1273.85
65.07                            7.74           124                 1245.89
64.96                            7.76           122                 1245.89
65.07                            7.76           122                 1245.89
65.07                            7.78           124                 1245.89
65.07                            7.76           124                 1245.89
65.07                            7.76           124                 1245.89
65.07                            7.78           124                 1245.89
